master_key,source_id,trade_name,active_ingredient,strength,dosage_form,package_shape,manufacturer_ar,source,source_uri
XRDF-12060,12060,BABYGESIC CHEW TAB.,PARACETAMOL,80 MG/CHEW TAB.,أقراص للمضغ,FOR /500/CHEW TAB.BLISTER,معمل المدينة الدوائية المحدودة المسؤولية / سيتي فارما /,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12060
XRDF-12061,12061,ATORVEX-20 CTD TAB.,ATORVASTATIN,20 MG/CTD TAB.,أقراص ملبسة,FOR /10/CTD TAB.BLISTER,مختبرات آسيا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12061
XRDF-12062,12062,BABYGESIC SYRUP,PARACETAMOL,160 MG/5 ML.,شراب,FOR /100/ML.SY.IN GLASS BOTTLE,معمل المدينة الدوائية المحدودة المسؤولية / سيتي فارما /,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12062
XRDF-12063,12063,ATORVEX-40 CTD TAB.,ATORVASTATIN,40 MG/CTD TAB.,أقراص ملبسة,FOR /30/CTD TAB.BLISTER,مختبرات آسيا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12063
XRDF-12064,12064,BABYGESIC-125 SUPP.,PARACETAMOL,125 MG/SUPP.,تحاميل,FOR /10/SUPP.STRIPS,معمل المدينة الدوائية المحدودة المسؤولية / سيتي فارما /,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12064
XRDF-12065,12065,ATORVEX-40 CTD TAB.,ATORVASTATIN,40 MG/CTD TAB.,أقراص ملبسة,FOR /10/CTD TAB.BLISTER,مختبرات آسيا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12065
XRDF-12066,12066,BABYGESIC-160 CHEW TAB.,PARACETAMOL,160 MG/CHEW TAB.,أقراص للمضغ,FOR /20/CHEW TAB.BLISTER,معمل المدينة الدوائية المحدودة المسؤولية / سيتي فارما /,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12066
XRDF-12067,12067,ATRACURIUM ELSAAD-50 AMP.,ATRACURIUM BESYLATE,50 MG/AMP.,محلول للحقن/حبابات,FOR /1/AMP.OF 5ML.,معمل السعد للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12067
XRDF-12068,12068,BABYGESIC-160 CHEW TAB.,PARACETAMOL,160 MG/CHEW TAB.,أقراص للمضغ,FOR /500/CHEW TAB.BLISTER,معمل المدينة الدوائية المحدودة المسؤولية / سيتي فارما /,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12068
XRDF-12069,12069,ATRACURIUM ELSAAD-50 AMP.,ATRACURIUM BESYLATE,50 MG/AMP.,محلول للحقن/حبابات,FOR /25/AMP.OF 5ML.,معمل السعد للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12069
XRDF-1207,1207,TYLOXI MOND F.CTD TAB.,PARACETAMOL,500 MG/CTD TAB.,أقراص ملبسة,FOR /100/CTD TAB.BLISTER,دياموند فارما,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/1207
